Date,Births,Deaths
01-01-59,35,29
02-01-59,32,35
03-01-59,30,20
04-01-59,31,34
05-01-59,44,22
06-01-59,29,20
07-01-59,45,36
08-01-59,43,25
09-01-59,38,20
10-01-59,27,33
11-01-59,38,22
12-01-59,33,30
13-01-59,55,22
14-01-59,47,35
15-01-59,45,32
16-01-59,37,39
17-01-59,50,29
18-01-59,43,37
19-01-59,41,28
20-01-59,52,33
21-01-59,34,27
22-01-59,53,27
23-01-59,39,29
24-01-59,32,24
25-01-59,37,39
26-01-59,43,29
27-01-59,39,25
28-01-59,35,37
29-01-59,44,36
30-01-59,38,21
31-01-59,24,30
01-02-59,23,25
02-02-59,31,32
03-02-59,44,36
04-02-59,38,33
05-02-59,50,39
06-02-59,38,31
07-02-59,51,40
08-02-59,31,36
09-02-59,31,20
10-02-59,51,27
11-02-59,36,34
12-02-59,45,35
13-02-59,51,26
14-02-59,34,39
15-02-59,52,32
16-02-59,47,39
17-02-59,45,32
18-02-59,46,27
19-02-59,39,38
20-02-59,48,21
21-02-59,37,25
22-02-59,35,26
23-02-59,52,24
24-02-59,42,35
25-02-59,45,36
26-02-59,39,30
27-02-59,37,37
28-02-59,30,25
01-03-59,35,31
02-03-59,28,33
03-03-59,45,35
04-03-59,34,33
05-03-59,36,35
06-03-59,50,33
07-03-59,44,32
08-03-59,39,24
09-03-59,32,35
10-03-59,39,37
11-03-59,45,31
12-03-59,43,33
13-03-59,39,33
14-03-59,31,35
15-03-59,27,27
16-03-59,30,35
17-03-59,42,21
18-03-59,46,39
19-03-59,41,37
20-03-59,36,31
21-03-59,45,28
22-03-59,46,29
23-03-59,43,36
24-03-59,38,37
25-03-59,34,36
26-03-59,35,40
27-03-59,56,38
28-03-59,36,28
29-03-59,32,20
30-03-59,50,36
31-03-59,41,30
01-04-59,39,40
02-04-59,41,20
03-04-59,47,28
04-04-59,34,31
05-04-59,36,25
06-04-59,33,40
07-04-59,35,26
08-04-59,38,38
09-04-59,38,23
10-04-59,34,39
11-04-59,53,24
12-04-59,34,29
13-04-59,34,35
14-04-59,38,31
15-04-59,35,32
16-04-59,32,30
17-04-59,42,36
18-04-59,34,25
19-04-59,46,34
20-04-59,30,23
21-04-59,46,27
22-04-59,45,40
23-04-59,54,37
24-04-59,34,23
25-04-59,37,37
26-04-59,35,38
27-04-59,40,20
28-04-59,42,33
29-04-59,58,20
30-04-59,51,21
01-05-59,32,21
02-05-59,35,34
03-05-59,38,20
04-05-59,33,30
05-05-59,39,37
06-05-59,47,38
07-05-59,38,20
08-05-59,52,23
09-05-59,30,39
10-05-59,34,27
11-05-59,40,40
12-05-59,35,25
13-05-59,42,20
14-05-59,41,29
15-05-59,42,37
16-05-59,38,28
17-05-59,24,23
18-05-59,34,38
19-05-59,43,26
20-05-59,36,22
21-05-59,55,40
22-05-59,41,39
23-05-59,45,38
24-05-59,41,37
25-05-59,37,32
26-05-59,43,32
27-05-59,39,26
28-05-59,33,27
29-05-59,43,33
30-05-59,40,39
31-05-59,38,33
01-06-59,45,40
02-06-59,46,37
03-06-59,34,31
04-06-59,35,35
05-06-59,48,33
06-06-59,51,21
07-06-59,36,31
08-06-59,33,27
09-06-59,46,22
10-06-59,42,28
11-06-59,48,20
12-06-59,34,21
13-06-59,41,26
14-06-59,35,33
15-06-59,40,38
16-06-59,34,37
17-06-59,30,30
18-06-59,36,33
19-06-59,40,23
20-06-59,39,30
21-06-59,45,21
22-06-59,38,27
23-06-59,47,23
24-06-59,33,40
25-06-59,30,20
26-06-59,42,33
27-06-59,43,35
28-06-59,41,20
29-06-59,41,21
30-06-59,59,33
01-07-59,43,34
02-07-59,45,36
03-07-59,38,29
04-07-59,37,25
05-07-59,45,31
06-07-59,42,30
07-07-59,57,34
08-07-59,46,36
09-07-59,51,26
10-07-59,41,40
11-07-59,47,23
12-07-59,26,23
13-07-59,35,33
14-07-59,44,31
15-07-59,41,24
16-07-59,42,35
17-07-59,36,36
18-07-59,45,32
19-07-59,45,22
20-07-59,45,28
21-07-59,47,31
22-07-59,38,24
23-07-59,42,30
24-07-59,35,20
25-07-59,36,40
26-07-59,39,22
27-07-59,45,24
28-07-59,43,33
29-07-59,47,38
30-07-59,36,21
31-07-59,41,21
01-08-59,50,21
02-08-59,39,34
03-08-59,41,39
04-08-59,46,40
05-08-59,64,25
06-08-59,45,28
07-08-59,34,37
08-08-59,38,35
09-08-59,44,36
10-08-59,48,40
11-08-59,46,40
12-08-59,44,39
13-08-59,37,21
14-08-59,39,30
15-08-59,44,20
16-08-59,45,38
17-08-59,33,24
18-08-59,44,24
19-08-59,38,39
20-08-59,46,25
21-08-59,46,20
22-08-59,40,35
23-08-59,39,38
24-08-59,44,26
25-08-59,48,27
26-08-59,50,30
27-08-59,41,31
28-08-59,42,36
29-08-59,51,22
30-08-59,41,27
31-08-59,44,30
01-09-59,38,36
02-09-59,68,26
03-09-59,40,34
04-09-59,42,22
05-09-59,51,35
06-09-59,44,24
07-09-59,45,28
08-09-59,36,33
09-09-59,57,31
10-09-59,44,37
11-09-59,42,23
12-09-59,53,37
13-09-59,42,40
14-09-59,34,24
15-09-59,40,28
16-09-59,56,38
17-09-59,44,23
18-09-59,53,35
19-09-59,55,26
20-09-59,39,28
21-09-59,59,24
22-09-59,55,31
23-09-59,73,25
24-09-59,55,30
25-09-59,44,36
26-09-59,43,29
27-09-59,40,35
28-09-59,47,35
29-09-59,51,23
30-09-59,56,26
01-10-59,49,39
02-10-59,54,28
03-10-59,56,28
04-10-59,47,25
05-10-59,44,27
06-10-59,43,22
07-10-59,42,35
08-10-59,45,36
09-10-59,50,39
10-10-59,48,23
11-10-59,43,26
12-10-59,40,30
13-10-59,59,34
14-10-59,41,38
15-10-59,42,36
16-10-59,51,20
17-10-59,49,27
18-10-59,45,39
19-10-59,43,30
20-10-59,42,34
21-10-59,38,37
22-10-59,47,39
23-10-59,38,21
24-10-59,36,25
25-10-59,42,32
26-10-59,35,33
27-10-59,28,34
28-10-59,44,32
29-10-59,36,33
30-10-59,45,40
31-10-59,46,36
01-11-59,48,30
02-11-59,49,38
03-11-59,43,36
04-11-59,42,31
05-11-59,59,32
06-11-59,45,38
07-11-59,52,22
08-11-59,46,29
09-11-59,42,20
10-11-59,40,28
11-11-59,40,38
12-11-59,45,26
13-11-59,35,34
14-11-59,35,30
15-11-59,40,30
16-11-59,39,35
17-11-59,33,31
18-11-59,42,21
19-11-59,47,40
20-11-59,51,36
21-11-59,44,24
22-11-59,40,34
23-11-59,57,37
24-11-59,49,32
25-11-59,45,36
26-11-59,49,28
27-11-59,51,27
28-11-59,46,33
29-11-59,44,24
30-11-59,52,34
01-12-59,45,40
02-12-59,32,24
03-12-59,46,30
04-12-59,41,21
05-12-59,34,40
06-12-59,33,21
07-12-59,36,40
08-12-59,49,30
09-12-59,43,30
10-12-59,43,34
11-12-59,34,22
12-12-59,39,23
13-12-59,35,35
14-12-59,52,28
15-12-59,47,33
16-12-59,52,29
17-12-59,39,40
18-12-59,40,23
19-12-59,42,34
20-12-59,42,20
21-12-59,53,21
22-12-59,39,39
23-12-59,40,27
24-12-59,38,22
25-12-59,44,20
26-12-59,34,29
27-12-59,37,39
28-12-59,52,33
29-12-59,48,24
30-12-59,55,35
31-12-59,50,39
